id,name,en_name,type,total_verses
1,???????,Al-Fatihah,meccan,7
2,??????,Al-Baqarah,medinan,286
3,?? ?????,Ali 'Imran,medinan,200
4,??????,An-Nisa,medinan,176
5,???????,Al-Ma'idah,medinan,120
6,???????,Al-An'am,meccan,165
7,???????,Al-A'raf,meccan,206
8,???????,Al-Anfal,medinan,75
9,??????,At-Tawbah,medinan,129
10,????,Yunus,meccan,109
11,???,Hud,meccan,123
12,????,Yusuf,meccan,111
13,?????,Ar-Ra'd,medinan,43
14,???????,Ibrahim,meccan,52
15,?????,Al-Hijr,meccan,99
16,?????,An-Nahl,meccan,128
17,???????,Al-Isra,meccan,111
18,?????,Al-Kahf,meccan,110
19,????,Maryam,meccan,98
20,??,Taha,meccan,135
21,????????,Al-Anbya,meccan,112
22,????,Al-Hajj,medinan,78
23,????????,Al-Mu'minun,meccan,118
24,?????,An-Nur,medinan,64
25,???????,Al-Furqan,meccan,77
26,???????,Ash-Shu'ara,meccan,227
27,?????,An-Naml,meccan,93
28,?????,Al-Qasas,meccan,88
29,????????,Al-'Ankabut,meccan,69
30,?????,Ar-Rum,meccan,60
31,?????,Luqman,meccan,34
32,??????,As-Sajdah,meccan,30
33,???????,Al-Ahzab,medinan,73
34,???,Saba,meccan,54
35,????,Fatir,meccan,45
36,??,Ya-Sin,meccan,83
37,???????,As-Saffat,meccan,182
38,?,Sad,meccan,88
39,?????,Az-Zumar,meccan,75
40,????,Ghafir,meccan,85
41,????,Fussilat,meccan,54
42,??????,Ash-Shuraa,meccan,53
43,??????,Az-Zukhruf,meccan,89
44,??????,Ad-Dukhan,meccan,59
45,???????,Al-Jathiyah,meccan,37
46,???????,Al-Ahqaf,meccan,35
47,????,Muhammad,medinan,38
48,?????,Al-Fath,medinan,29
49,???????,Al-Hujurat,medinan,18
50,?,Qaf,meccan,45
51,????????,Adh-Dhariyat,meccan,60
52,?????,At-Tur,meccan,49
53,?????,An-Najm,meccan,62
54,?????,Al-Qamar,meccan,55
55,??????,Ar-Rahman,medinan,78
56,???????,Al-Waqi'ah,meccan,96
57,??????,Al-Hadid,medinan,29
58,????????,Al-Mujadila,medinan,22
59,?????,Al-Hashr,medinan,24
60,????????,Al-Mumtahanah,medinan,13
61,????,As-Saf,medinan,14
62,??????,Al-Jumu'ah,medinan,11
63,?????????,Al-Munafiqun,medinan,11
64,???????,At-Taghabun,medinan,18
65,??????,At-Talaq,medinan,12
66,???????,At-Tahrim,medinan,12
67,?????,Al-Mulk,meccan,30
68,?????,Al-Qalam,meccan,52
69,??????,Al-Haqqah,meccan,52
70,???????,Al-Ma'arij,meccan,44
71,???,Nuh,meccan,28
72,????,Al-Jinn,meccan,28
73,??????,Al-Muzzammil,meccan,20
74,??????,Al-Muddaththir,meccan,56
75,???????,Al-Qiyamah,meccan,40
76,???????,Al-Insan,medinan,31
77,????????,Al-Mursalat,meccan,50
78,?????,An-Naba,meccan,40
79,????????,An-Nazi'at,meccan,46
80,???,'Abasa,meccan,42
81,???????,At-Takwir,meccan,29
82,????????,Al-Infitar,meccan,19
83,????????,Al-Mutaffifin,meccan,36
84,????????,Al-Inshiqaq,meccan,25
85,??????,Al-Buruj,meccan,22
86,??????,At-Tariq,meccan,17
87,??????,Al-A'la,meccan,19
88,???????,Al-Ghashiyah,meccan,26
89,?????,Al-Fajr,meccan,30
90,?????,Al-Balad,meccan,20
91,?????,Ash-Shams,meccan,15
92,?????,Al-Layl,meccan,21
93,?????,Ad-Duhaa,meccan,11
94,?????,Ash-Sharh,meccan,8
95,?????,At-Tin,meccan,8
96,?????,Al-'Alaq,meccan,19
97,?????,Al-Qadr,meccan,5
98,??????,Al-Bayyinah,medinan,8
99,???????,Az-Zalzalah,medinan,8
100,????????,Al-'Adiyat,meccan,11
101,???????,Al-Qari'ah,meccan,11
102,???????,At-Takathur,meccan,8
103,?????,Al-'Asr,meccan,3
104,??????,Al-Humazah,meccan,9
105,?????,Al-Fil,meccan,5
106,????,Quraysh,meccan,4
107,???????,Al-Ma'un,meccan,7
108,??????,Al-Kawthar,meccan,3
109,????????,Al-Kafirun,meccan,6
110,?????,An-Nasr,medinan,3
111,?????,Al-Masad,meccan,5
112,???????,Al-Ikhlas,meccan,4
113,?????,Al-Falaq,meccan,5
114,?????,An-Nas,meccan,6
