surah_id,name,translation,altName,altTranslation
1,Al-Faatiha,The Opening,,
2,Al-Baqara,The Cow,,
3,Aal-i-Imraan,The Family of Imraan,,
4,An-Nisaa,The Women,,
5,Al-Maaida,The Table,,
6,Al-An'aam,The Cattle,,
7,Al-A'raaf,The Heights,,
8,Al-Anfaal,The Spoils of War,,
9,At-Tawba,The Repentance,,
10,Yunus,Jonas,,
11,Hud,Hud,,
12,Yusuf,Joseph,,
13,Ar-Ra'd,The Thunder,,
14,Ibrahim,Abraham,,
15,Al-Hijr,The Rock,,
16,An-Nahl,The Bee,,
17,Al-Israa,The Night Journey,,
18,Al-Kahf,The Cave,,
19,Maryam,Mary,,
20,Taa-Haa,Taa-Haa,,
21,Al-Anbiyaa,The Prophets,,
22,Al-Hajj,The Pilgrimage,,
23,Al-Muminoon,The Believers,,
24,An-Noor,The Light,,
25,Al-Furqaan,The Criterion,,
26,Ash-Shu'araa,The Poets,,
27,An-Naml,The Ant,,
28,Al-Qasas,The Stories,,
29,Al-Ankaboot,The Spider,,
30,Ar-Room,The Romans,,
31,Luqman,Luqman,,
32,As-Sajda,The Prostration,,
33,Al-Ahzaab,The Clans,,
34,Saba,Sheba,,
35,Faatir,The Originator,,
36,Yaseen,Yaseen,,
37,As-Saaffaat,Those drawn up in Ranks,,
38,Saad,The letter Saad,,
39,Az-Zumar,The Groups,,
40,Al-Ghaafir,The Forgiver,,
41,Fussilat,Explained in detail,,
42,Ash-Shura,Consultation,,
43,Az-Zukhruf,Ornaments of gold,,
44,Ad-Dukhaan,The Smoke,,
45,Al-Jaathiya,Crouching,,
46,Al-Ahqaf,The Dunes,,
47,Muhammad,Muhammad,,
48,Al-Fath,The Victory,,
49,Al-Hujuraat,The Inner Apartments,,
50,Qaaf,The letter Qaaf,,
51,Adh-Dhaariyat,The Winnowing Winds,,
52,At-Tur,The Mount,,
53,An-Najm,The Star,,
54,Al-Qamar,The Moon,,
55,Ar-Rahmaan,The Beneficent,,
56,Al-Waaqia,The Inevitable,,
57,Al-Hadid,The Iron,,
58,Al-Mujaadila,The Pleading Woman,,
59,Al-Hashr,The Exile,,
60,Al-Mumtahana,She that is to be examined,,
61,As-Saff,The Ranks,,
62,Al-Jumu'a,Friday,,
63,Al-Munaafiqoon,The Hypocrites,,
64,At-Taghaabun,Mutual Disillusion,,
65,At-Talaaq,Divorce,,
66,At-Tahrim,The Prohibition,,
67,Al-Mulk,The Sovereignty,,
68,Al-Qalam,The Pen,,
69,Al-Haaqqa,The Reality,,
70,Al-Ma'aarij,The Ascending Stairways,,
71,Nooh,Noah,,
72,Al-Jinn,The Jinn,,
73,Al-Muzzammil,The Enshrouded One,,
74,Al-Muddaththir,The Cloaked One,,
75,Al-Qiyaama,The Resurrection,,
76,Al-Insaan,Man,,
77,Al-Mursalaat,The Emissaries,,
78,An-Naba,The Announcement,,
79,An-Naazi'aat,Those who drag forth,,
80,Abasa,He frowned,,
81,At-Takwir,The Overthrowing,,
82,Al-Infitaar,The Cleaving,,
83,Al-Mutaffifin,Defrauding,,
84,Al-Inshiqaaq,The Splitting Open,,
85,Al-Burooj,The Constellations,,
86,At-Taariq,The Morning Star,,
87,Al-A'laa,The Most High,,
88,Al-Ghaashiya,The Overwhelming,,
89,Al-Fajr,The Dawn,,
90,Al-Balad,The City,,
91,Ash-Shams,The Sun,,
92,Al-Lail,The Night,,
93,Ad-Dhuhaa,The Morning Hours,,
94,Ash-Sharh,The Consolation,,
95,At-Tin,The Fig,,
96,Al-Alaq,The Clot,,
97,Al-Qadr,"The Power, Fate",,
98,Al-Bayyina,The Evidence,,
99,Az-Zalzala,The Earthquake,,
100,Al-Aadiyaat,The Chargers,,
101,Al-Qaari'a,The Calamity,,
102,At-Takaathur,Competition,,
103,Al-Asr,"The Declining Day, Epoch",,
104,Al-Humaza,The Traducer,,
105,Al-Fil,The Elephant,,
106,Quraish,Quraysh,,
107,Al-Maa'un,Almsgiving,,
108,Al-Kawthar,Abundance,,
109,Al-Kaafiroon,The Disbelievers,,
110,An-Nasr,Divine Support,,
111,Al-Lahab,The Blazing Flames,Al-Masad,The Palm Fibre
112,Al-Ikhlaas,Sincerity,,
113,Al-Falaq,The Dawn,,
114,An-Naas,Mankind,,
