surah_id,name,translation
1,Al-Fatihah,Pembukaan
2,Al-Baqarah,Sapi
3,Ali 'Imran,Keluarga Imran
4,An-Nisa',Wanita
5,Al-Ma'idah,Hidangan
6,Al-An'am,Binatang Ternak
7,Al-A'raf,Tempat Tertinggi
8,Al-Anfal,Rampasan Perang
9,At-Taubah,Pengampunan
10,Yunus,Yunus
11,Hud,Hud
12,Yusuf,Yusuf
13,Ar-Ra'd,Guruh
14,Ibrahim,Ibrahim
15,Al-Hijr,Hijr
16,An-Nahl,Lebah
17,Al-Isra',Memperjalankan Malam Hari
18,Al-Kahf,Goa
19,Maryam,Maryam
20,Taha,Taha
21,Al-Anbiya',Para Nabi
22,Al-Hajj,Haji
23,Al-Mu'minun,Orang-Orang Mukmin
24,An-Nur,Cahaya
25,Al-Furqan,Pembeda
26,Asy-Syu'ara',Para Penyair
27,An-Naml,Semut-semut
28,Al-Qasas,Kisah-Kisah
29,Al-'Ankabut,Laba-Laba
30,Ar-Rum,Romawi
31,Luqman,Luqman
32,As-Sajdah,Sajdah
33,Al-Ahzab,Golongan Yang Bersekutu
34,Saba',Saba'
35,Fatir,Maha Pencipta
36,Yasin,Yasin
37,As-Saffat,Barisan-Barisan
38,Sad,Sad
39,Az-Zumar,Rombongan
40,Gafir,Maha Pengampun
41,Fussilat,Yang Dijelaskan
42,Asy-Syura,Musyawarah
43,Az-Zukhruf,Perhiasan
44,Ad-Dukhan,Kabut
45,Al-Jasiyah,Berlutut
46,Al-Ahqaf,Bukit Pasir
47,Muhammad,Muhammad
48,Al-Fath,Kemenangan
49,Al-Hujurat,Kamar-Kamar
50,Qaf,Qaf
51,Az-Zariyat,Angin yang Menerbangkan
52,At-Tur,Bukit Tursina
53,An-Najm,Bintang
54,Al-Qamar,Bulan
55,Ar-Rahman,Maha Pengasih
56,Al-Waqi'ah,Hari Kiamat
57,Al-Hadid,Besi
58,Al-Mujadalah,Gugatan
59,Al-Hasyr,Pengusiran
60,Al-Mumtahanah,Wanita Yang Diuji
61,As-Saff,Barisan
62,Al-Jumu'ah,Jumat
63,Al-Munafiqun,Orang-Orang Munafik
64,At-Tagabun,Pengungkapan Kesalahan
65,At-Talaq,Talak
66,At-Tahrim,Pengharaman
67,Al-Mulk,Kerajaan
68,Al-Qalam,Pena
69,Al-Haqqah,Hari Kiamat
70,Al-Ma'arij,Tempat Naik
71,Nuh,Nuh
72,Al-Jinn,Jin
73,Al-Muzzammil,Orang Yang Berselimut
74,Al-Muddassir,Orang Yang Berkemul
75,Al-Qiyamah,Hari Kiamat
76,Al-Insan,Manusia
77,Al-Mursalat,Malaikat Yang Diutus
78,An-Naba',Berita Besar
79,An-Nazi'at,Malaikat Yang Mencabut
80,'Abasa,Bermuka Masam
81,At-Takwir,Penggulungan
82,Al-Infitar,Terbelah
83,Al-Mutaffifin,Orang-Orang Curang
84,Al-Insyiqaq,Terbelah
85,Al-Buruj,Gugusan Bintang
86,At-Tariq,Yang Datang Di Malam Hari
87,Al-A'la,Maha Tinggi
88,Al-Gasyiyah,Hari Kiamat
89,Al-Fajr,Fajar
90,Al-Balad,Negeri
91,Asy-Syams,Matahari
92,Al-Lail,Malam
93,Ad-Duha,Duha
94,Asy-Syarh,Lapang
95,At-Tin,Buah Tin
96,Al-'Alaq,Segumpal Darah
97,Al-Qadr,Kemuliaan
98,Al-Bayyinah,Bukti Nyata
99,Az-Zalzalah,Guncangan
100,Al-'Adiyat,Kuda Yang Berlari Kencang
101,Al-Qari'ah,Hari Kiamat
102,At-Takasur,Bermegah-Megahan
103,Al-'Asr,Asar
104,Al-Humazah,Pengumpat
105,Al-Fil,Gajah
106,Quraisy,Quraisy
107,Al-Ma'un,Barang Yang Berguna
108,Al-Kausar,Pemberian Yang Banyak
109,Al-Kafirun,Orang-Orang kafir
110,An-Nasr,Pertolongan
111,Al-Lahab,Api Yang Bergejolak
112,Al-Ikhlas,Ikhlas
113,Al-Falaq,Subuh
114,An-Nas,Manusia
